City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Sisimiut,GL,66.9395,-53.6735,34.23,65,0,11.43,clear sky
69,Fortuna,US,40.5982,-124.1573,51.66,81,100,11.5,overcast clouds
70,Jamestown,US,42.097,-79.2353,65.84,20,0,6.91,clear sky
71,Cape Town,ZA,-33.9258,18.4232,58.91,84,0,3.0,clear sky
72,Machiques,VE,10.0644,-72.545,86.05,75,47,3.96,scattered clouds
73,Tura,IN,25.5198,90.2201,70.68,87,9,4.32,clear sky
74,Upernavik,GL,72.7868,-56.1549,16.52,83,60,5.86,broken clouds
75,Torbay,CA,47.6666,-52.7314,45.28,70,20,13.8,few clouds
76,Senanga,ZM,-16.1167,23.2667,66.63,41,56,3.74,broken clouds
77,Airai,TL,-8.9266,125.4092,57.96,89,51,4.18,broken clouds
78,Avarua,CK,-21.2078,-159.775,86.05,79,40,8.05,scattered clouds
79,Vostok,RU,46.4856,135.8833,40.6,71,83,4.79,broken clouds
80,Richards Bay,ZA,-28.783,32.0377,65.3,89,97,10.27,light rain
81,Tiksi,RU,71.6872,128.8694,8.01,94,74,4.18,broken clouds
82,Ilulissat,GL,69.2167,-51.1,28.42,74,3,0.0,clear sky
83,Vanavara,RU,60.34,102.2797,25.2,91,100,9.64,light snow
84,Aksu,CN,41.1231,80.2644,70.34,31,0,3.74,clear sky
85,Venado Tuerto,AR,-33.7456,-61.9688,67.77,60,83,6.15,broken clouds
86,Port Macquarie,AU,-31.4333,152.9167,50.9,69,0,5.08,clear sky
87,Faanui,PF,-16.4833,-151.75,82.11,75,0,12.62,light rain
88,Oksfjord,NO,70.2396,22.3479,35.01,89,100,8.3,light snow
89,Carnarvon,AU,-24.8667,113.6333,60.87,94,0,9.22,clear sky
90,Albany,US,42.6001,-73.9662,63.88,28,100,1.99,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,54.3,92,100,6.44,overcast clouds
92,Mayo,US,38.8876,-76.5119,58.98,52,100,10.36,overcast clouds
93,Asau,RO,46.4333,26.4,51.28,87,99,2.15,overcast clouds
94,Miri,MY,4.4148,114.0089,77.14,94,40,4.61,scattered clouds
95,Poum,NC,-20.2333,164.0167,77.16,62,100,19.55,overcast clouds
96,Orhangazi,TR,40.4892,29.3089,49.71,79,100,3.96,overcast clouds
97,San Quintin,MX,30.4833,-115.95,63.21,64,0,22.91,clear sky
98,East London,ZA,-33.0153,27.9116,63.18,75,96,11.41,overcast clouds
99,Tabuk,PH,17.4189,121.4443,74.46,87,51,4.38,broken clouds
100,San Fernando,PH,15.0286,120.6898,80.33,81,48,4.52,scattered clouds
101,Barrow,US,71.2906,-156.7887,28.42,86,75,13.8,broken clouds
102,Provideniya,RU,64.3833,-173.3,33.15,95,84,10.6,broken clouds
103,Anadyr,RU,64.75,177.4833,34.3,93,75,20.13,broken clouds
104,Hambantota,LK,6.1241,81.1185,82.74,94,20,6.91,few clouds
105,Sawakin,SD,19.1059,37.3321,80.8,56,0,7.83,clear sky
106,Coahuayana,MX,18.7333,-103.6833,86.38,51,12,7.02,few clouds
107,Cotonou,BJ,6.3654,2.4183,84.18,79,40,9.22,scattered clouds
108,Saint George,US,37.1041,-113.5841,84.63,11,0,24.16,clear sky
109,Lebu,CL,-37.6167,-73.65,55.69,97,100,3.4,overcast clouds
110,Poronaysk,RU,49.2167,143.1167,34.77,94,97,4.99,overcast clouds
111,Iqaluit,CA,63.7506,-68.5145,29.93,63,75,2.3,broken clouds
112,Port Alfred,ZA,-33.5906,26.891,57.18,92,99,3.0,overcast clouds
113,San Cristobal,VE,7.7669,-72.225,80.78,73,85,5.03,overcast clouds
114,Salalah,OM,17.0151,54.0924,84.29,74,40,4.61,scattered clouds
115,Potiskum,NG,11.7091,11.0694,92.75,33,49,7.09,scattered clouds
116,Muzaffarabad,PK,34.37,73.4711,71.65,46,0,6.64,clear sky
117,Khatanga,RU,71.9667,102.5,4.62,96,45,8.9,scattered clouds
118,Makakilo City,US,21.3469,-158.0858,80.92,57,100,11.5,overcast clouds
119,Floro,NO,61.5996,5.0328,46.96,71,40,13.8,scattered clouds
120,Muisne,EC,0.6,-80.0333,78.37,85,90,11.05,overcast clouds
121,Kaitangata,NZ,-46.2817,169.8464,52.68,91,89,2.28,overcast clouds
122,Kastamonu,TR,41.5,33.6667,38.8,88,0,1.12,clear sky
123,Kaeo,NZ,-35.1,173.7833,61.32,97,97,8.21,overcast clouds
124,Kahului,US,20.8947,-156.47,87.82,45,40,16.11,scattered clouds
125,Abu Zabad,SD,12.35,29.25,87.01,6,100,10.22,overcast clouds
