City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Ca Mau,VN,80.06,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
452,Ugoofaaru,MV,84.58,overcast clouds,5.6667,73.0,Ungoofaaru Inn
454,Doka,SD,88.65,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
455,Meulaboh,ID,77.13,overcast clouds,4.1363,96.1285,Kost Pria
467,Maragogi,BR,76.37,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
468,Kimbe,PG,80.78,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
473,La Primavera,CO,82.53,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
484,Kieta,PG,81.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
485,Harper,LR,79.18,light rain,4.375,-7.7169,Screensaver
490,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
495,Isla Mujeres,MX,87.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
497,Pathein,MM,79.16,overcast clouds,16.7833,94.7333,Pathein Hotel
501,Manokwari,ID,81.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Yabassi,CM,76.69,overcast clouds,4.457,9.9682,MOTEL FOMI
507,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
510,Srandakan,ID,77.41,overcast clouds,-7.9386,110.2506,Puri Brata
527,Buraydah,SA,79.25,few clouds,26.326,43.975,Mövenpick Qassim
531,Eyl,SO,83.19,scattered clouds,7.9803,49.8164,Amiin Hotel
535,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
536,Qeshm,IR,84.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
538,Buala,SB,83.12,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
541,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
547,Englewood,US,76.15,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
549,Calamar,CO,85.69,broken clouds,10.2511,-74.9146,Hostal Katyalex
552,Nago,JP,75.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
553,Thongwa,MM,82.56,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
557,Oriximina,BR,76.01,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
559,Sierra Vista,US,86.5,haze,31.5545,-110.3037,Gateway Studio Suites
560,Bocas Del Toro,PA,83.86,clear sky,9.3333,-82.25,Hotel Bocas del Toro
573,Razole,IN,78.19,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
580,Pundaguitan,PH,77.43,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
582,Mogadishu,SO,81.9,broken clouds,2.0371,45.3438,Hotel Juba
588,Basco,PH,83.14,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
590,Dickson,US,75.96,clear sky,36.077,-87.3878,East Hills Bed & Breakfast Inn
596,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,The Inn At Schofield
605,Santa Isabel Do Rio Negro,BR,76.26,scattered clouds,-0.4139,-65.0192,Hotel GSA
606,Mana,GF,78.04,broken clouds,5.6592,-53.7767,LE SAMANA
613,Kudahuvadhoo,MV,84.04,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
614,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
619,Searcy,US,79.14,broken clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
620,Karratha,AU,75.22,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
623,Nabire,ID,78.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
624,Tautira,PF,80.8,light rain,-17.7333,-149.15,Pension Oaoa
628,Umm Lajj,SA,80.67,broken clouds,25.0213,37.2685,Moon light Furnished Units
630,Hobyo,SO,82.99,light rain,5.3505,48.5268,Iftin hotel hobyo
633,Cartagena,CO,89.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
636,Waingapu,ID,79.11,few clouds,-9.6567,120.2641,Pondok Wisata Elim
646,Sabang,ID,82.67,overcast clouds,5.8933,95.3214,Hotel Citra
648,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
657,Malakal,SS,87.67,overcast clouds,9.5334,31.6605,Nile Palace Hotel
662,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
667,Carauari,BR,76.42,scattered clouds,-4.8828,-66.8958,Hotel Fellip
668,Bayshore Gardens,US,87.28,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
669,Baracoa,CU,84.63,clear sky,20.3467,-74.4958,Hostal Rio Miel
